slug,name,street_number,pre_direction,street_name,street_suffix,post_direction,unit_type,unit_number,full_street,city,state_code,zip5,zip4,latitude,longitude,phone
us-sd-aberdeen-presentation-college-cb65b140,Presentation College,1500,N,2nd,St,,,,1500 N 2nd St,Aberdeen,SD,57401,,45.48111701,-98.49069698,(605) 225-0420
us-sd-aberdeen-sacred-heart-99128567,Sacred Heart,502,,2nd,Ave,SE,,,502 2nd Ave SE,Aberdeen,SD,57401,,45.46272038,-98.48062563,(605) 225-7065
us-sd-aberdeen-st-mary-7fb57c09,St. Mary,409,,2nd,Ave,NE,,,409 2nd Ave NE,Aberdeen,SD,57401,,45.46809365,-98.48175093,(605) 229-4422
us-sd-aberdeen-st-thomas-aquinas-newman-center-d82e3f2a,St. Thomas Aquinas Newman Center,310,,15th,Ave,SE,,,310 15th Ave S.E,Aberdeen,SD,57401,,45.44901353,-98.48305436,(605) 229-1011
us-sd-alexandria-monastery-of-our-mother-of-mercy-and-st-joseph-bb9eb467,Monastery of Our Mother of Mercy and St. Joseph,211,,5th,St,,,,211 5th St,Alexandria,SD,57311,,43.6541875,-97.7848125,16052394382
us-sd-alexandria-st-mary-of-mercy-fatima-family-shrine-543bddc2,St. Mary of Mercy (Fatima Family Shrine),220,,5th,St,W,,,220 5th St W,Alexandria,SD,57311,,43.65482912,-97.78459653,605-425-2600
us-sd-arlington-st-john-the-evangelist-44b5f5fd,St. John the Evangelist,301,S,Main,St,,,,301 S Main St ,Arlington,SD,57212,,44.36214832,-97.13577299, (605) 854-9961
us-sd-armour-st-paul-the-apostle-60c1cde5,St. Paul the Apostle,206,,1st,St,,,,206 1st St,Armour,SD,57313,,43.31831161,-98.35277436,(605) 724-2191
us-sd-artesian-st-charles-catholic-church-cacd8dec,St. Charles Catholic Church,541,W,2nd,Ave,,,,541 W 2nd Ave,Artesian,SD,57314,,44.0078025,-97.9278427,+1-605-796-4666
us-sd-aurora-church-of-st-william-abbot-e472125f,St. William Abbot,304,,Broadway,St,,,,304 Broadway St,Aurora,SD,57002,,44.2856875,-96.6873125,16059972610
us-sd-belle-fourche-st-paul-d355f20d,St. Paul,834,,6th,Ave,,,,834 6th Ave,Belle Fourche,SD,57717,,44.66821156,-103.85260957,(605) 723-3226
us-sd-beresford-st-teresa-of-avila-6762f63a,St. Teresa of Avila,901,S,3rd,St,,,,901 S 3rd St,Beresford,SD,,,43.07250088,-96.77460551,605-763-2028
