slug,name,street_number,pre_direction,street_name,street_suffix,post_direction,unit_type,unit_number,full_street,city,state_code,zip5,zip4,latitude,longitude,phone
us-ar-altus-st-mary-b67ead1d,St. Mary,5118,,St Mary's,Ln,,,,5118 St Mary's Ln,Altus,AR,72821,,35.45224389,-93.758645,(479) 468-2585
us-ar-arkadelphia-st-mary-9c97d62d,St. Mary,249,N,14th,St,,,,249 N 14th St,Arkadelphia,AR,71923,,34.12437593,-93.06384647,(870) 246-7575
us-ar-ashdown-st-elizabeth-ann-seton-mission-09e2d937,St. Elizabeth Ann Seton,1910,,Rankin,St,,,,1910 Rankin St,Ashdown,AR,71822,,33.67175532,-94.10478816,(870) 772-1115 or (501) 339-1754 (Emergency)
us-ar-atkins-church-of-the-assumption-ded8c79c,Assumption,118,,,Ave,,,,118 Ave 3 NE,Atkins,AR,72823,,35.24231761,-92.93365992,(479) 641-7179
us-tx-atlanta-saint-catherine-of-siena-2b850a15,St. Catherine of Siena,309,N,Louise,St,,,,309 N Louise St,Atlanta,TX,75551,,33.11803645,-94.16716236,903-796-4494
us-ar-bald-knob-church-of-st-richard-ccc22728,St. Richard,101,W,Cleveland,St,,,,101 W Cleveland St,Bald Knob,AR,72010,,35.3126875,-91.5703125,15012685252
us-ar-bald-knob-st-richard-mission-4c76f860,St. Richard Mission,101,W,Cleveland,St,,,,101 W Cleveland St,Bald Knob,AR,72010,,35.31191588,-91.57101332,(501) 268-5252
us-ar-barling-sacred-heart-of-mary-5edb3f3e,Sacred Heart of Mary,1301,,Frank,St,,,,1301 Frank St,Barling,AR,72923,,35.32333285,-94.31064955,(479) 452-1795 or (479) 522-4245 (Fr. Tuyen)
us-tn-bartlett-catholic-church-of-the-nativity-7efaa0e5,Nativity,5955,,St Elmo,Rd,,,,5955 St Elmo Rd,Bartlett,TN,38135,1516,35.230419,-89.864142,(901) 382-2504
us-tn-bartlett-st-ann-43df716d,St. Ann,6529,,Stage,Rd,,,,6529 Stage Rd,Bartlett,TN,38134,,35.20378517,-89.84561806,(901) 373-6011
us-la-bastrop-st-joseph-d48876ac,St. Joseph,217,,Harrington,Ave,,,,217 Harrington Ave,Bastrop,LA,71220,,32.78338582,-91.9163966,(318) 281-4327
us-ar-batesville-st-mary-ba7cdbe9,St. Mary,3800,,Harrison,St,,,,3800 Harrison St,Batesville,AR,72501,,35.76786106,-91.59605569,(870) 793-7717
us-ar-bella-vista-st-bernard-of-clairvaux-bc136037,St. Bernard of Clairvaux,1,,St Bernard,Ln,,,,1 St Bernard Ln,Bella Vista,AR,72715,,36.45588402,-94.29364963,(479) 855-9069
us-ar-benton-our-lady-of-fatima-3330d1e4,Our Lady of Fatima,900,W,Cross,St,,,,900 W Cross St,Benton,AR,72015,,34.56684861,-92.59621005,(501) 315-5186
us-ar-bentonville-st-stephen-738bdc07,St. Stephen,1300,NE,J,St,,,,1300 NE J St,Bentonville,AR,72712,,36.38681082,-94.19517863,(479) 273-1240
us-ar-berryville-st-anne-09061d5b,St. Anne,614,S,Main,St,,,,614 S Main St,Berryville,AR,72616,,36.35811753,-93.55981898,(870) 423-3927 or (870) 929-6374 (Emergency)
us-ar-bigelow-st-boniface-01d4ab53,St. Boniface,20,,St Boniface,Dr,,,,20 St Boniface Dr,Bigelow,AR,72016,,35.04190401,-92.61245549,(501) 759-2371
us-ar-bigelow-church-of-st-boniface-89e56dea,St. Boniface,,,River Tr,,,,,River Tr,Bigelow,AR,72016,,35.0178125,-92.6315625,15017592371
us-ar-blytheville-immaculate-conception-0752254f,Immaculate Conception,1301,W,Main,St,,,,1301 W Main St,Blytheville,AR,72315,,35.92719959,-89.92049464,(870) 762-2506
us-ar-booneville-our-lady-of-the-assumption-fb216de6,Our Lady of the Assumption,616,N,Cherry,St,,,,616 N Cherry St,Booneville,AR,72927,,35.14331425,-93.90946984,(479) 675-3371
us-ar-brinkley-st-john-the-baptist-b8a71a8e,St. John the Baptist,203,W,Ash,St,,,,203 W Ash St,Brinkley,AR,72021,,34.88558991,-91.19327188,(870) 734-1202
us-ar-cabot-st-john-the-baptist-latin-mass-community-8ebae182,St. John the Baptist (Latin Mass Community),602,E,Main,St,,,,602 E Main St,Cabot,AR,72023,,34.96952105,-92.01090913,(501) 941-1566
us-ar-camden-st-louis-ebc733d9,St. Louis,202,N,Adams,Ave,,,,202 N Adams Ave,Camden,AR,71701,,33.58688831,-92.83042848,(870) 836-2426
us-ar-carlisle-st-rose-of-lima-0d5d9a57,St. Rose of Lima,603,E,Park,St,,,,603 E Park St,Carlisle,AR,72024,,34.78000798,-91.74119508,(870) 552-3601
us-mo-caruthersville-sacred-heart-ec841d5f,Sacred Heart,605,,Ward,Ave,,,,605 Ward Ave,Caruthersville,MO,63830,,36.18990802,-89.65604406,(573) 333-4301
us-mo-cassville-st-edward-fe826e7d,St. Edward,105,W,17th,St,,,,105 W 17th St,Cassville,MO,65625,,36.68821394,-93.86511934,(417) 847-4948
us-ar-center-ridge-st-joseph-2c8c4d96,St. Joseph,343,,Catholic Point,Rd,,,,343 Catholic Point Rd,Center Ridge,AR,72027,,35.34408172,-92.55368016,(501) 893-2889
us-ar-charleston-sacred-heart-1bf9f5c5,Sacred Heart,18,,Prairie,St,,,,18 Prairie St,Charleston,AR,72933,,35.29732629,-94.03448895,(479) 965-2532
us-ar-cherokee-village-st-michael-062896cb,St. Michael,49,,Tekakwitha,Dr,,,,49 Tekakwitha Dr,Cherokee Village,AR,72529,,36.26146817,-91.55048462,(870) 257-2850 or (870) 257-4456 (Rectory)
us-ms-clarksdale-immaculate-conception-14f203fe,Immaculate Conception,510,,Ritchie,Ave,,,,510 Ritchie Ave,Clarksdale,MS,38614,,34.20144846,-90.55349924,(662) 624-4029
us-ms-clarksdale-st-elizabeth-9c0e0b33,St. Elizabeth,130,,Florence,Ave,,,,130 Florence Ave,Clarksdale,MS,38614,,34.20946586,-90.57128236,(662) 624-4301
us-ar-clarksville-holy-redeemer-962fbb03,Holy Redeemer,103,E,Main,St,,,,103 E Main St,Clarksville,AR,72830,,35.47135308,-93.45969718,(479) 754-3610
us-ar-clinton-st-jude-thaddeus-77399f47,St. Jude Thaddeus,3178,,,Hwy,,,,3178 Hwy 65 S,Clinton,AR,72031,,35.54970857,-92.44960991,(501) 745-5716 or (501) 884-3346 (Emergency)
us-ar-conway-catholic-campus-ministry-conway-9d5b3710,Catholic Campus Ministry Conway,1919,,S,Blvd,,,,1919 S Blvd,Conway,AR,72034,,35.07892223,-92.45111905,(501) 336-9091
us-ar-conway-st-joseph-fec76373,St. Joseph,1115,,College,Ave,,,,1115 College Ave,Conway,AR,72032,,35.08497719,-92.43811888,(501) 327-6568
us-tn-cordova-st-francis-of-assisi-df57be32,St. Francis of Assisi,8151,,Chimneyrock,Blvd,,,,8151 Chimneyrock Blvd,Cordova,TN,38016,,35.18125744,-89.7908642,(901) 756-1213
us-ar-corning-st-joseph-the-worker-mission-f0bf8c99,St. Joseph the Worker,1415,,Harb,St,,,,1415 Harb St,Corning,AR,72422,,36.40815454,-90.59506416,(870) 892-3319
us-ar-corning-st-joseph-the-worker-catholic-church-fe23dc8e,St. Joseph the Worker Catholic Church,1415,,Harb,St,,,,1415 Harb St,Corning,AR,72422,,36.4081027,-90.5950112,+1-870-892-3319
us-tn-covington-st-alphonsus-0f61e6c5,St. Alphonsus,1225,,,Hwy,,,,1225 Hwy 51 S,Covington,TN,38019,,35.55028448,-89.65851036,(901) 476-8140
us-ar-crawfordsville-sacred-heart-of-jesus-fd5c0550,Sacred Heart of Jesus,216,S,Main,St,,,,216 S Main St,Crawfordsville,AR,72327,,35.22511474,-90.32675254,(870) 733-1212 
us-ar-crossett-church-of-the-holy-cross-4cff7f05,Holy Cross,2400,S,Main,St,,,,2400 S Main St,Crossett,AR,71635,,33.1076875,-91.9549375,18703644847
us-ar-crossett-holy-cross-mission-96db7008,Holy Cross Mission,2400,S,Main,St,,,,2400 S Main St,Crossett,AR,71635,,33.10813745,-91.9559902,(870) 364-4847 or (870) 265-5439
us-ar-danville-st-andrew-291b3b97,St. Andrew,1810,E,8th,St,,,,1810 E 8th St (Hwy 10),Danville,AR,72833,,35.052949,-93.37454186,(479) 495-3404 or (479) 229-3972
us-ar-dardanelle-st-augustine-4a965e65,St. Augustine,1001,N,2nd,St,,,,1001 N 2nd St,Dardanelle,AR,72834,,35.22829,-93.16026,(479) 229-3972
us-ar-de-queen-st-barbara-catholic-church-af918346,St Barbara Catholic Church,503,W,De Queen,Ave,,,,503 W De Queen Ave,De Queen,AR,71832,,34.03802,-94.3428695,+1-870-642-2256
us-ar-de-queen-st-barbara-d3edf04f,St. Barbara,503,W,DeQueen,Ave,,,,503 W DeQueen Ave,De Queen,AR,71832,,34.03800267,-94.34286164,(870) 642-2256
us-ar-decatur-blessed-stanley-rother-mission-4ab0e081,Blessed Stanley Rother Mission,758,,Hill,Ave,,,,758 Hill Ave,Decatur,AR,72722,,36.33437085,-94.4533816,(479) 361-2612 
us-mo-doniphan-st-benedict-da1d25c9,St. Benedict,703,,Pine,St,,,,703 Pine St,Doniphan,MO,63935,,36.61914506,-90.81850157,(573) 351-1107
us-ar-dumas-holy-child-of-jesus-mission-a32df845,Holy Child of Jesus,807,E,Waterman,,,,,807 E Waterman,Dumas,AR,71639,,33.88731431,-91.47967093,(870) 367-2848
us-ar-el-dorado-holy-redeemer-40bfca3e,Holy Redeemer,440,W,Main,St,,,,440 W Main St,El Dorado,AR,71730,,33.21216878,-92.66834684,(870) 863-3620
us-ar-engelberg-st-john-the-baptist-mission-6d00919f,St. John the Baptist,4650,,Engelberg,Rd,,,,4650 Engelberg Rd,Engelberg,AR,72455,,36.33811528,-90.90963498,(870) 892-3319
us-ar-england-holy-trinity-mission-1ccab33d,Holy Trinity,1240,,,Hwy,,,,1240 Hwy 161 W,England,AR,72046,,34.54744622,-91.99202503,(870) 673-8351
