slug,name,street_number,pre_direction,street_name,street_suffix,post_direction,unit_type,unit_number,full_street,city,state_code,zip5,zip4,latitude,longitude,phone
us-wi-abbotsford-st-bernard-615448b5,St. Bernard,400,N,2nd,Ave,,,,400 N 2nd Ave,Abbotsford,WI,54405,,44.94930977,-90.32338844,(715) 223-4026
us-wi-abbotsford-st-bernard-catholic-church-92b60ac9,St. Bernard Catholic Church,400,N,2nd,Ave,,,,400 N 2nd Ave,Abbotsford,WI,54405,,44.949385,-90.3234699,+1-715-223-4026
us-wi-adams-church-of-st-joseph-69b39bbc,St. Joseph,166,,Main,St,,,,166 Main St,Adams,WI,53910,,43.9591875,-89.8175625,16083393485
us-wi-albany-st-patrick-church-e7e93584,St. Patrick,410,E,State,St,,,,410 E State St,Albany,WI,53502,,42.70451607,-89.43272603,(608) 424-3831
us-wi-algoma-st-mary-201b90f5,St. Mary,118,,Church,St,,,,118 Church St,Algoma,WI,54201,,44.61243936,-87.43319416,(920) 487-5005
us-wi-allenton-resurrection-f1a514c2,Resurrection,209,,Main,St,,,,209 Main St,Allenton,WI,53002,,43.4225043,-88.33815629,(262) 629-5240
us-wi-alma-st-lawrence-21decc2e,St. Lawrence,206,S,2nd,St,,,,206 S 2nd St,Alma,WI,54610,,44.3219646,-91.91449,(608) 687-8418
us-wi-alma-church-of-st-lawrence-f5afeb93,St. Lawrence,206,S,2nd,St,,,,206 S 2nd St,Alma,WI,54610,,44.3168125,-91.9119375,16086873496
us-wi-alma-center-immaculate-conception-149d5053,Immaculate Conception,341,W,Main,St,,,,341 W Main St,Alma Center,WI,54611,,44.4370349,-90.9145866,(715) 964-5201
us-wi-alma-center-immaculate-conception-catholic-church-eed55dd8,Immaculate Conception Catholic Church,341,W,Main,St,,,,341 W Main St,Alma Center,WI,54611,,44.4368614,-90.9181792,+1-715-964-5201
us-wi-almena-sacred-heart-of-jesus-dc9bb89f,Sacred Heart of Jesus,114,,Soo,Ave,,,,114 Soo Ave,Almena,WI,54805,,45.41773941,-92.03724576,(715) 822-2948
us-wi-almena-sacred-heart-of-jesus-catholic-church-bbdd973e,Sacred Heart of Jesus Catholic Church,114,,Soo,Ave,W,,,114 Soo Ave W,Almena,WI,54805,,45.4176839,-92.0372205,+1-715-822-2948
us-wi-almond-st-maximilian-kolbe-2fee8fa2,St. Maximilian Kolbe,8611,,State Rd 54,,,,,8611 State Rd 54,Almond,WI,54909,,44.3647652,-89.354744,(715) 824-3380
us-wi-altoona-st-mary-64d38c9a,St. Mary,1812,,Lynn,Ave,,,,1812 Lynn Ave,Altoona,WI,54720,,44.80692287,-91.43942437,(715) 855-1294
us-wi-amberg-st-agnes-f3501bc0,St. Agnes,,,W8031 Wright,St,,,,W8031 Wright St,Amberg,WI,54102,,45.50357284,-87.99559402,(715) 856-5276
us-wi-amery-st-joseph-catholic-church-f2e63c2b,St. Joseph Catholic Church,1050,N,Keller,Ave,,,,1050 N Keller Ave,Amery,WI,54001,,45.32450183,-92.35890704,(715) 268-7717
us-wi-amherst-st-james-2abf032d,St. James,453,S,Main,St,,,,453 S Main St,Amherst,WI,54406,,44.44638978,-89.28805516,(715) 824-3455
us-wi-amherst-st-mary-of-mount-carmel-14e78bc3,St. Mary of Mount Carmel,3995,,County Rd K,,,,,3995 County Rd K,Amherst,WI,54406,,44.4709,-89.3752,(715) 824-3455
us-wi-aniwa-st-boniface-8f6c8422,St. Boniface,,,W 19104 Church,St,,,,W 19104 Church St,Aniwa,WI,54408,,45.00779421,-89.21518793,(715) 449-0050
