slug,name,street_number,pre_direction,street_name,street_suffix,post_direction,unit_type,unit_number,full_street,city,state_code,zip5,zip4,latitude,longitude,phone
church-a80431356314,St. Brendan's Church ,8,,Front,St,,,,8 Front St Mallorytown Rockport,,,,,44.37864805,-75.93506455,613-659-2412
us-ny-adams-st-cecilias-d413f436,St. Cecilia,17,,Grove,St,,,,17 Grove St,Adams,NY,13605,,43.80635778,-76.02741248,(315) 232-2392
us-ma-adams-st-john-paul-ii-51b6a893,St. John Paul the Great,21,,Maple,St,,,,21 Maple St,Adams,MA,01220,,42.62454861,-73.12011656,(413) 743-2110
us-ma-adams-st-stanislaus-kostka-b96af4bf,St. Stanislaus Kostka Church,25,,Hoosac,St,,,,25 Hoosac St,Adams,MA,01220,1791,42.62495203,-73.11339032,(413) 743-0577
us-ny-addison-st-catherine-of-siena-9f40da30,St. Catherine of Siena,51,,Maple,St,,,,51 Maple St,Addison,NY,14801,,42.11032244,-77.22602009,(607) 359-2115
us-ny-afton-st-agnes-84919474,Mission of St. Agnes,14,,Spring,St,,,,14 Spring St,Afton,NY,13730,,42.22879786,-75.52695113,(607) 967-4481
us-ny-akron-st-teresa-of-avila-parish-c62a7779,St Teresa of Avila Parish,5771,,Buell,St,,,,5771 Buell St,Akron,NY,14001,,43.0033525,-78.5012358,+1-716-542-9103
us-ny-akron-st-teresa-of-avila-0df736f8,St. Teresa of Avila,5771,,Buell,St,,,,5771 Buell St,Akron,NY,14001,0168,43.00340953,-78.50129224,(716) 542-9103
us-ny-albany-all-saints-catholic-church-8555cd05,All Saints,16,,Homestead,St,,,,16 Homestead St,Albany,NY,12203,,42.67583443,-73.82383219,518-482-4497
us-ny-albany-blessed-sacrament-church-e8b32aad,Blessed Sacrament,607,,Central,Ave,,,,607 Central Ave,Albany,NY,12206,,42.67358582,-73.78184198,518-482-3375
us-ny-albany-cathedral-of-the-immaculate-conception-56e45ea5,Cathedral of the Immaculate Conception,125,,Eagle,St,,,,125 Eagle St,Albany,NY,12202,1797,42.64746906,-73.75951023,(518) 463-4447
us-ny-albany-christ-the-king-e73fb6c8,Christ the King,20,,Sumter,Ave,,,,20 Sumter Ave,Albany,NY,12203,,42.69402068,-73.8862544,(518) 456-1644
us-ny-albany-korean-catholic-apostolate-of-albany-9a513ca8,Korean Catholic Apostolate of Albany,17,,Exchange,St,,,,17 Exchange St,Albany,NY,12205,,42.6840353,-73.7802894,+1-518-438-1805
us-ny-albany-mater-christi-457e90fa,Mater Christi,40,,Hopewell,St,,,,40 Hopewell St,Albany,NY,12208,,42.65709295,-73.81394487,(518) 489-3204
us-ny-albany-shrine-of-our-lady-of-the-americas-522cb8e9,Our Lady of the Americas,274,,Sherman,St,,,,274 Sherman St,Albany,NY,12206,,42.6639673,-73.77116404,(518) 465-3685
us-ny-albany-sacred-heart-of-jesus-church-st-pius-x-parish-b505f478,Sacred Heart of Jesus (St. Pius X Parish),33,,Walter,St,,,,33 Walter St,Albany,NY,12204,,42.67211218,-73.73943114,(518) 434-0680
us-ny-albany-saint-clares-church-5fec06aa,St. Clare,1947,,Central,Ave,,,,1947 Central Ave,Albany,NY,12205,,42.73997817,-73.85723624,(518) 456-3112
us-ny-albany-st-francis-of-assisi-delaware-ave-site-88feb667,St. Francis of Assisi,391,,Delaware,Ave,,,,391 Delaware Ave,Albany,NY,12209,1615,42.6417669,-73.78030967,(518) 434-4028
us-ny-albany-st-francis-of-assisi-south-end-site-f37a8f6b,"St. Francis of Assisi, South End Site",95,,Fourth,Ave,,,,95 Fourth Ave,Albany,NY,12202,,42.63902041,-73.75754251,(518) 434-4028
us-ny-albany-historic-st-marys-church-3ea3fe56,St. Mary,10,,Lodge,St,,,,10 Lodge St,Albany,NY,12207,,42.6518555,-73.7528,(518) 462-4254
us-ny-albany-st-peter-hospital-64ef1a59,St. Peter Hospital,315,S,Manning,Blvd,,,,315 S Manning Blvd,Albany,NY,12208,,42.65582633,-73.80373906,(518) 525-1602
us-ny-albany-st-vincent-de-paul-4ebec8ae,St. Vincent de Paul,900,,Madison,Ave,,,,900 Madison Ave,Albany,NY,12208,,42.66132377,-73.78432708,(518) 489-5408
us-ny-albany-university-at-albany-suny-newman-association-9228448c,"University at Albany, SUNY Newman Association",16,,Homestead,St,,,,16 Homestead St,Albany,NY,12203,,42.68511705,-73.82518339,(518) 482 4497
us-ny-albion-holy-family-ec380fea,Holy Family,106,S,Main,St,,,,106 S Main St,Albion,NY,14411,1499,43.24325465,-78.19377587,(585) 589-4243
us-ny-albion-holy-family-parish-896c5816,Holy Family Parish,106,S,Main,St,,,,106 S Main St,Albion,NY,14411,,43.244992,-78.194131,+1-585-589-4243
us-ny-albion-oratory-of-st-mary-assumption-e4082e9d,Oratory of St. Mary Assumption,47,,Brown,St,,,,47 Brown St,Albion,NY,14411,,43.2496875,-78.1783125,
us-vt-alburg-st-amadeus-718de649,St. Amadeus,9,N,Main,St,,,,9 N Main St,Alburg,VT,05440,,44.97792383,-73.29980506,(802) 796-3481
us-ny-alden-st-john-the-baptist-2f76ea75,St. John the Baptist,2021,,Sandridge,Rd,,,,2021 Sandridge Rd,Alden,NY,14004,,42.91145145,-78.52366573,(716) 937-6959
us-ny-alexandria-bay-st-cyril-984622b3,St. Cyril,26,,Walton,St,,,,26 Walton St,Alexandria Bay,NY,13607,,44.33677106,-75.91613818,(315) 482-2670
us-ny-alfred-st-jude-00790ce6,St. Jude,1154,,Lower College,Dr,,,,1154 Lower College Dr,Alfred,NY,14802,,42.25585763,-77.79317574,585-593-4834
us-ny-alfred-church-of-sts-brendan-and-jude-9cbb6044,Sts. Brendan and Jude,,,Lower College,Dr,,,,Lower College Dr,Alfred,NY,14804,,42.3149375,-77.7424375,
us-ny-allegany-st-bonaventure-em-catholic-50a0dece,St. Bonaventure,95,E,Main,St,,,,95 E Main St,Allegany,NY,14706,1397,42.08769751,-78.48991083,(716) 372-4841
