slug,name,street_number,pre_direction,street_name,street_suffix,post_direction,unit_type,unit_number,full_street,city,state_code,zip5,zip4,latitude,longitude,phone
us-il-abingdon-sacred-heart-006b3981,Sacred Heart,504,N,Main,St,,,,504 N Main St,Abingdon,IL,61410,,40.80640145,-90.39886817,(309) 343-9874
us-il-addison-st-joseph-f90cb2d2,St. Joseph,330,E,Fullerton,Ave,,,,330 E Fullerton Ave,Addison,IL,60101,,41.92069528,-87.98022012,(630) 279-6553
us-il-addison-st-philip-the-apostle-1dbdaa62,St. Philip the Apostle,1233,W,Holtz,Ave,,,,1233 W Holtz Ave,Addison,IL,60101,,41.93810193,-88.01868069,(630) 628-0900
us-mo-affton-seven-holy-founders-7ddffacd,Seven Holy Founders,6741,,Rock Hill,Rd,,,,6741 Rock Hill Rd,Affton,MO,63123,,38.55222724,-90.33397821,(314) 638-3938
us-il-albany-st-patrick-10131b39,St. Patrick,,,Hwy 84,,,,,Hwy 84,Albany,IL,61230,,41.79310751,-90.20621681,(815) 589-3542
us-il-albany-church-of-st-patrick-6f42b66e,St. Patrick,84,,,,,,,84,Albany,IL,61230,,41.78875,-90.22125,18155893542
us-wi-albany-st-patrick-church-e7e93584,St. Patrick,410,E,State,St,,,,410 E State St,Albany,WI,53502,,42.70451607,-89.43272603,(608) 424-3831
us-il-albers-st-bernard-12c04dce,St. Bernard,202,N,Broadway,,,,,202 N Broadway,Albers,IL,62215,,38.54457295,-89.61354404,(618) 248-5112
us-il-aledo-st-catherine-a66fb06e,St. Catherine,106,NE,4th,St,,,,106 N.E 4th St,Aledo,IL,61231,,41.20410535,-90.74884115,(309) 582-7500
us-il-alexander-visitation-of-the-bvm-bf2defc2,Visitation of the Blessed Virgin Mary,506,E,Old Rt 36,,,,,506 E Old Rt 36,Alexander,IL,62601,,39.72536268,-90.03599915,217-488-3545
us-il-algonquin-st-margaret-mary-c2441351,St. Margaret Mary,111,S,Hubbard,St,,,,111 S Hubbard St,Algonquin,IL,60102,,42.1640669,-88.2888134,(847) 658-7625
us-il-algonquin-st-margaret-mary-catholic-church-a3ad44c7,St. Margaret Mary Catholic Church,111,S,Hubbard,St,,,,111 S Hubbard St,Algonquin,IL,60102,,42.1642458,-88.2879365,+1-847-658-7625
us-il-alsip-incarnation-st-terrence-parish-st-terrence-33fa2bb3,Incarnation-St. Terrence Parish - St. Terrence ,4300,W,119th,Pl,,,,4300 W 119th Pl,Alsip,IL,60803,,41.67585921,-87.72803584,(708) 597-3180
